Result,Goal Scored,Balll Possession %,Attempts,On-Target,Off-Target,Free Kicks,Pass Accuracy %,Fouls Committed,Yellow Card,Red Card,PSO
1,5,40,13,7,3,11,78,22,0,0,No
0,0,60,6,0,3,25,86,10,0,0,No
0,0,43,8,3,3,7,78,12,2,0,No
1,1,57,14,4,6,13,86,6,0,0,No
0,0,64,13,3,6,14,86,22,1,0,No
1,1,36,8,2,5,22,86,14,3,0,No
0,3,39,8,3,2,13,87,12,1,0,No
0,3,61,12,5,5,13,93,10,1,0,No
1,2,51,12,5,4,19,87,16,1,0,No
0,1,49,4,1,2,16,85,19,3,0,No
0,1,72,26,7,9,15,92,10,0,0,No
0,1,28,9,3,5,10,67,15,0,0,No
0,0,52,18,6,7,21,85,10,1,0,No
1,1,48,10,3,5,15,82,18,2,0,No
1,2,54,11,2,7,17,84,20,2,0,No
0,0,46,14,2,5,22,84,16,1,0,No
0,0,50,10,3,3,18,83,18,2,0,No
1,1,50,10,3,5,19,83,15,2,0,No
0,0,60,25,9,9,17,88,10,2,0,No
1,1,40,12,4,6,11,82,15,2,0,No
0,1,52,20,4,9,19,88,12,1,0,No
0,1,48,6,2,4,13,83,19,3,0,No
1,1,52,15,4,5,23,84,20,1,0,No
0,0,48,5,0,2,21,79,23,2,0,No
1,3,61,15,6,7,21,89,17,3,0,No
0,0,39,6,2,4,18,82,18,5,0,No
0,1,41,6,1,3,11,82,14,0,0,No
1,2,59,17,7,7,16,91,8,1,0,No
0,1,41,8,3,1,10,82,15,2,1,No
1,2,59,14,6,5,17,87,9,1,0,No
0,1,57,10,4,5,18,88,8,1,0,No
1,2,43,8,2,4,11,81,15,2,0,No
1,3,47,11,3,5,10,76,11,1,0,No
0,1,53,13,1,8,11,81,10,1,0,No
1,1,47,10,2,4,24,76,19,1,0,No
0,0,53,16,4,10,20,77,23,1,0,No
1,1,47,13,4,6,15,88,10,0,0,No
0,0,53,8,3,3,11,86,13,0,0,No
0,0,30,5,0,5,15,69,14,2,0,No
1,1,70,17,3,6,16,89,14,0,0,No
0,1,49,10,5,5,5,88,7,2,0,No
0,1,51,14,5,5,8,85,5,0,0,No
1,1,44,12,4,6,16,77,11,2,0,No
